Pico001,1000000,Long Corporation,6290000,https://pico.vn/41046/may-giat-toshiba-8-kg-awk905dvsg--mau-ghi.html,WashingMachine,human
Pico002,Máy Giặt Toshiba AW-K900DV(WW) 8 kg Trắng,Toshiba,5890000,https://pico.vn/41045/may-giat-toshiba-8-kg-awk900dvww--mau-trang.html,WashingMachine,upper door
Pico003,Máy Giặt Toshiba AW-K1005FV(SG) 9 Kg Ghi,Toshiba,7290000,https://pico.vn/41038/may-giat-toshiba-9-kg-awk1005fvsg--mau-ghi.html,WashingMachine,front door
Pico004,Máy Giặt Toshiba AW-K1000FV(WW) 9 kg Trắng,Toshiba,6890000,https://pico.vn/41037/may-giat-toshiba-9-kg-awk1000fvww-mau-trang.html,WashingMachine,upper door
Pico005,Máy Giặt Aqua 10 Kg AQW-FR100ET.W Trắng,Aqua,5190000,https://pico.vn/40846/may-giat-aqua-10-kg-aqwfr100etw-mau-trang.html,WashingMachine,upper door
Pico006,Máy Giặt Lồng Đứng LG T2185VS2W Inverter 8.5 Kg,LG,5990000,https://pico.vn/40762/may-giat-long-dung-lg-t2185vs2w--inverter--mau-trang--85-kg.html,WashingMachine,upper door
Pico007,Máy Giặt Sấy Electrolux EWW8025DGWA Inverter Giặt 8.0 kg Sấy 5.0kg ,Electrolux,12990000,https://pico.vn/40720/may-giat-say-inverter-eww8025dgwa--giat-80-kg--say-50kg-made-in-thailand.html,WashingMachine,front door
Pico008,Máy Giặt Sấy LG FV1450H2B- DD inverter - Giặt 10.5 Sấy 7Kg ,LG,21900000,https://pico.vn/40675/may-giat-say-ln-lg-fv1450h2b-dd-inverter--giat-105-say-7kg--mau-den.html,WashingMachine,front door
Pico009,Máy Giặt Sấy Inverter Electrolux EWW8023AEWA - Giặt 8.0 kg - Sấy 5.0kg ,Electrolux,15390000,https://pico.vn/40662/may-giat-say-inverter-eww8023aewa--giat-80-kg--say-50kg-made-in-thailand.html,WashingMachine,front door
Pico0010,Máy Giặt Aqua AQW-U91CTN 9 Kg Vàng,Aqua,5560000,https://pico.vn/40611/may-giat-aqua-aqwu91ctn---9-kg-mau-vang--nap-kinh-tran-vien.html,WashingMachine,upper door
Pico0011,Máy Giặt Toshiba 8.2 Kg AW-J920LV SB,Toshiba,5890000,https://pico.vn/40570/may-giat-toshiba-82-kg-awj920lv-sb.html,WashingMachine,upper door
Pico0012,Máy Giặt Lồng Đứng LG TH2113SSAK 13 kg Inverter ,LG,12490000,https://pico.vn/40546/may-giat-long-dung-13-kg-inverter-dan-dong-truc-tiepsmart-diagnosis.html,WashingMachine,upper door
Pico0013,Máy Giặt Lồng Đứng LG TH2112SSAV 12 kg inverter,LG,11990000,https://pico.vn/40545/may-giat-long-dung-12-kg-inverter-dan-dong-truc-tiepsmart-diagnosis.html,WashingMachine,upper door
Pico0014,Máy Giặt Lồng Ngang LG FV1450S3W- DD inverter - Giặt 10.5kg ,LG,14490000,https://pico.vn/40544/may-giat-long-ngang-lg-fv1450s3w-dd-inverter--giat-105kg--mau-trang.html,WashingMachine,front door
Pico0015,Máy Giặt Lồng Ngang LG FV1450S2B- DD Inverter - Giặt 10.5kg,LG,16490000,https://pico.vn/40543/may-giat-long-ngang-lg-fv1450s2b-dd-inverter--giat-105kg--mau-den.html,WashingMachine,front door
Pico0016,Máy Giặt Panasonic NA-FD11AR1GV Inverter 11.5 Kg,Panasonic,10790000,https://pico.vn/40541/may-giat-panasonic-nafd11ar1gv--115-kg-inverter--10-chuong-trinh-giat.html,WashingMachine,front door
Pico0017,Máy Giặt Panasonic NA-FD10XR1LV Inverter 10.5 Kg,Panasonic,10290000,https://pico.vn/40540/may-giat-panasonic-nafd10xr1lv--105-kg-inverter--10-chuong-trinh-giat.html,WashingMachine,front door
Pico0018,Máy Giặt Lồng Ngang LG FM1209N6W 9.0 Kg DD Inverter,LG,10490000,https://pico.vn/40539/may-giat--long-ngang-lg-fm1209n6w--giat-90-kg-dd--inverter.html,WashingMachine,front door
Pico0019,Máy Giặt Lồng Ngang LG FM1208N6W 8 Kg DD Inverter,LG,8990000,https://pico.vn/40538/may-giat--long-ngang-lg-fm1208n6w-giat-8-kg--dd-inverter.html,WashingMachine,front door
Pico0020,Máy Giặt Panasonic 8kg NAF80VS9GRV,Panasonic,5190000,https://pico.vn/33710/may-giat-panasonic-naf80vs9grv--80kg.html,WashingMachine,upper door
Pico0021,Máy giặt Panasonic NAF85A4GRV - 8.5kg,Panasonic,6190000,https://pico.vn/36337/may-giat-panasonic-naf85a4grv--85kg.html,WashingMachine,upper door
Pico0022,Máy giặt Panasonic NA-F90A4GRV 9.0 kg,Panasonic,6890000,https://pico.vn/35990/may-giat-panasonic-naf90a4grv--90-kg-mau-xam.html,WashingMachine,upper door
Pico0023,Máy Giặt Sấy Aqua AQD-D1000HTN Inverter - Giặt 10kg sấy 5kg,Aqua,17990000,https://pico.vn/35971/may-giat-aqua--aqdd1000htn--10-kg5kg-say.html,WashingMachine,front door
Pico0024,Máy Giặt Sấy Lồng Ngang LG FC1409D4E Giặt 9Kg Sấy 5Kg,LG,15990000,https://pico.vn/35832/may-giat--long-ngang-lg-fc1409d4e-giat-9-say-5kg.html,WashingMachine,front door
Pico0025,Máy Giặt Lồng Ngang LG FC1409S2E 9 Kg,LG,13490000,https://pico.vn/35830/may-giat--long-ngang-lg-fc1409s2e-giat-9-kg.html,WashingMachine,front door
Pico0026,Máy Giặt Sấy LG FC1408D4W - Giặt 8KG Sấy 5Kg,LG,12990000,https://pico.vn/35829/may-giat--long-ngang-lg-fc1408d4w-giat-8kg-say-5kg.html,WashingMachine,front door
Pico0027,Máy Giặt Lồng Ngang LG 8 Kg FC1408S3E Inverter,LG,10990000,https://pico.vn/35828/may-giat--long-ngang-lg-fc1408s3e-giat-8-kg.html,WashingMachine,front door
Pico0028,Máy Giặt Cửa Trên Panasonic 10 Kg NAF100V5LRV - Màu Bạc,Panasonic,9590000,https://pico.vn/35703/may-giat-panasonic-naf100v5lrv--10-kg-mau-bac.html,WashingMachine,front door
Pico0029,Máy Giặt Panasonic NA-F90X5LRV - 9 Kg,Panasonic,7690000,https://pico.vn/35697/may-giat-panasonic-naf90x5lrv--9-kg-mau-bac.html,WashingMachine,front door
Pico0030,Máy Giặt Lồng Ngang LG FC1409S2W 9 Kg ,LG,12490000,https://pico.vn/35577/may-giat--long-ngang-lg-fc1409s2w-giat-9-kg.html,WashingMachine,front door
Pico0031,Máy Giặt Lồng Ngang LG 8Kg FC1408S4W2,LG,9990000,https://pico.vn/35556/may-giat--long-ngang-lg-fc1408s4w2-giat-8-kg.html,WashingMachine,front door
Pico0032,Máy Giặt Lồng Đứng LG T2312DSAV 12 Kg ,LG,9990000,https://pico.vn/35211/may-giat-long-dung-lg-t2312dsav-asspevn--12-kg.html,WashingMachine,upper door
Pico0033,Máy Giặt Lồng Đứng LG T2311DSAL 11 kg,LG,9390000,https://pico.vn/35206/may-giat-long-dung-lg-t2311dsal-afspevn--11-kg.html,WashingMachine,upper door
Pico0034,Máy Giặt Samsung WA90M5120SG/SV 9.0 Kg  Xám,Samsung,5690000,https://pico.vn/35045/may-giat-sam-sung-90-kg-wa90m5120sgsv-mau-xam.html,WashingMachine,upper door
Pico0035,Máy Giặt Samsung 8.5 Kg WA85M5120SW/SV Trắng,Samsung,5290000,https://pico.vn/35043/may-giat-sam-sung-85-kg-wa85m5120swsv-mau-trang.html,WashingMachine,upper door
Pico0036,Máy Giặt Samsung WA85M5120SG/SV  8.5 Kg Xám,Samsung,5390000,https://pico.vn/35042/may-giat-sam-sung-85kg-wa85m5120sgsv-mau-xam.html,WashingMachine,upper door
Pico0037,Máy Giặt LG Twin Wash F2721HTTV Loại 21 Kg ,LG,39900000,https://pico.vn/34913/may-giat-say-lg-f2721httv--17kg-giat9kg-say.html,WashingMachine,front door
Pico0038, Máy Giặt LG TWINWash T2735NWLV Loại 3.5 Kg,LG,14900000,https://pico.vn/34911/may-giat-lg-t2735nwlv---35kg.html,WashingMachine,front door
Pico0039,Máy Giặt Sấy Samsung WD17J7825KP/SV Inverter ,Samsung,21990000,https://pico.vn/34126/may-giat--samsung--wd17j7825kp--17kg9kg-say.html,WashingMachine,front door
Pico0040,Máy Giặt Sấy Samsung WD85K5410OX/SV Giặt 8kg/ sấy 6kg,Samsung,15990000,https://pico.vn/33942/may-giat--samsung--wd85k5410ox---8kg6kg-say.html,WashingMachine,front door
Pico0041,Máy Giặt Sấy Samsung WD10K6410OS/SV 10.5kg/6kg sấy,Samsung,19990000,https://pico.vn/33941/may-giat--samsung--wd10k6410os---105kg6kg-say.html,WashingMachine,front door
Pico0042,Máy Giặt Electrolux EWF12853S 8kg,Electrolux,13990000,https://pico.vn/33856/may-giat--electrolux-ewf12853s--8kg-long--ngang-inverter-mau-xam-bac.html,WashingMachine,front door
Pico0043,Máy Giặt Bosch WAN28260BY  8.0kg ,Bosch,22990000,https://pico.vn/38056/may-giat-bosch-wan28260by-80kg--made-in-poland.html,WashingMachine,front door
Pico0044,Máy Giặt Bosch WAW24460EU - 9.0 kg ,Bosch,29990000,https://pico.vn/38054/may-giat-bosch-waw24460eu--90-kg-made-in-germany.html,WashingMachine,front door
Pico0045,Máy Giặt Panasonic NA-120VG6WV2 -10 kg ,Panasonic,17900000,https://pico.vn/38003/may-giat-panasonic-na120vg6wv2--100-kg--inverter--khang-khuan--mau-trang.html,WashingMachine,front door
Pico0046,Máy Giặt Toshiba AWDUH1200GV 11 kg,Toshiba,10890000,https://pico.vn/37239/may-giat-toshiba-awduh1200gv-11-kg.html,WashingMachine,front door
Pico0047,Máy Giặt Samsung WW85K54E0UW/SV - 8.5kg,Samsung,11490000,https://pico.vn/37186/may-giat-samsung-ww85k54e0uwsv--85kg--mau-trang--inverter.html,WashingMachine,front door
Pico0048,Máy Giặt Samsung WW85K54E0UX/SV - 8.5kg ,Samsung,11790000,https://pico.vn/37185/may-giat-samsung-ww85k54e0uxsv--85kg--inox-den--inverter.html,WashingMachine,front door
Pico0049,Máy Giặt Samsung WW80J54E0BX/SV 8kg Inox Đen,Samsung,10990000,https://pico.vn/37183/may-giat-samsung-ww80j54e0bxsv--8kg--inox-den--inverter.html,WashingMachine,front door
Pico0050,Máy Giặt Samsung WW90J54E0BW/SV Inverter 9kg Trắng ,Samsung,11490000,https://pico.vn/37182/may-giat-samsung-ww90j54e0bwsv--9kg--mau-trang--inverter.html,WashingMachine,front door
Pico0051,Máy Giặt Samsung WW90K54E0UW/SV - 9kg,Samsung,12990000,https://pico.vn/37181/may-giat-samsung-ww90k54e0uwsv--9kg--mau-trang--inverter.html,WashingMachine,front door
Pico0052,Máy Giặt Samsung WW90K54E0UX/SV - 9kg,Samsung,15090000,https://pico.vn/37180/may-giat-samsung-ww90k54e0uxsv--9kg--inox-den--inverter.html,WashingMachine,front door
Pico0053,Máy Giặt Lồng Đứng LG T2395VS2W ,LG,6790000,https://pico.vn/37109/may-giat-long-dung-lg-t2395vs2w--inverter--mau-trang--95-kg.html,WashingMachine,upper door
Pico0054,Máy Giặt Toshiba AW-DUH1100GV 10 kg,Toshiba,10190000,https://pico.vn/37026/may-giat-toshiba-awduh1100gv-10-kg.html,WashingMachine,front door
Pico0055,Máy Giặt Aqua AQDDD850AN Inverter Vàng Kim,Aqua,8990000,https://pico.vn/37024/may-giat-aqua-aqddd850an--85-kg-dd-inverter-mau-vang-kim.html,WashingMachine,front door
Pico0056,Máy Giặt Lồng Ngang LG F2719SVBVB,LG,28900000,https://pico.vn/36984/may-giat-long-ngang-lg-f2719svbvb--19kg-giat.html,WashingMachine,front door
Pico0057,Máy Giặt Lồng Đứng LG T2395VS2M 9.5 Kg Bạc,LG,6990000,https://pico.vn/36937/may-giat-long-dung-lg-t2395vs2m--inverter--mau-bac--95-kg.html,WashingMachine,upper door
Pico0058,Máy Giặt Lồng Đứng LG T2385VS2M Bạc,LG,5490000,https://pico.vn/36935/may-giat-long-dung-lg-t2385vs2m--inverter--mau-bac--85-kg.html,WashingMachine,upper door
Pico0059,Máy Giặt LG TWINWash FG1405H3W Loại 10.5kg Giặt - 7kg Sấy,LG,22490000,https://pico.vn/36772/may-giat-lg-fg1405h3w--105-kg-giat--7kg-say--inverter.html,WashingMachine,front door
Pico0060,Máy Giặt LG TWINWash TG2402NTWW Loại 2kg,LG,13990000,https://pico.vn/36761/may-giat-lg-tg2402ntww---20kg.html,WashingMachine,front door
Pico0061,Máy Giặt Aqua AQWDW90ATN  Inverter - 9.0kg - Màu Bạc,Aqua,6990000,https://pico.vn/36460/may-giat-aqua-aqwdw90atn--90kg--mau-bac.html,WashingMachine,upper door
Pico0062,Máy Giặt Samsung WR24M9960KV/SV 21kg / sấy12kg,Samsung,47990000,https://pico.vn/36453/may-giat-samsung-wr24m9960kvsv---21-kg-say-12kg.html,WashingMachine,front door
Pico0063,Máy Giặt Lồng Ngang LG 9 Kg FC1409S3W.ABWPEVN Inverter,LG,11990000,https://pico.vn/36417/may-giat--long-ngang-lg-fc1409s3w--giat-9-kg.html,WashingMachine,front door
Pico0064,Máy giặt Lồng Đứng LG T2351VSAM - 11.5 Kg,Samsung,7290000,https://pico.vn/36081/may-giat-long-dung-lg-t2351vsam--115-kg.html,WashingMachine,upper door
Pico0065,Máy giặt lồng đứng LG T2350VSAW - 10.5 Kg,LG,6890000,https://pico.vn/36080/may-giat-long-dung-lg-t2350vsaw--105-kg.html,WashingMachine,upper door
